[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度],[D3]
西巒大山,西巒大山,3.8,登山口,2.7,XL100,27,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242511,2622170,23.703327,120.926562,6.5
西巒大山,西巒大山,3.7,登山口,2.8,XL100,28,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242600,2622204,23.703638,120.927428,6.5
西巒大山,西巒大山,3.6,登山口,2.9,XL100,29,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242678,2622240,23.703959,120.928198,6.5
西巒大山,西巒大山,3.5,登山口,3.0,XL100,30,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242748,2622289,23.704407,120.928884,6.5
西巒大山,西巒大山,3.4,登山口,3.1,XL100,31,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242844,2622287,23.704387,120.929820,6.5
西巒大山,西巒大山,3.3,登山口,3.2,XL100,32,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242931,2622309,23.704585,120.930675,6.5
西巒大山,西巒大山,3.2,登山口,3.3,XL100,33,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),242976,2622372,23.705157,120.931115,6.5
西巒大山,西巒大山,3.1,登山口,3.4,XL100,34,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),243030,2622418,23.705573,120.931644,6.5
西巒大山,西巒大山,3.0,登山口,3.5,XL100,35,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),243098,2622461,23.705955,120.932314,6.5
西巒大山,西巒大山,2.9,登山口,3.6,XL100,36,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),243172,2622498,23.706290,120.933039,6.5
西巒大山,西巒大山,2.8,登山口,3.7,XL100,37,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),243252,2622511,23.706410,120.933821,6.5
西巒大山,西巒大山,2.7,登山口,3.8,XL100,38,西巒大山(6.5)⇨倒塌瞭望台(3.85),➡林道叉路(1.68)⇨登山口(0.0),243334,2622470,23.706043,120.934632,6.5
西巒大山,西巒大山,2.6,登山口,3.9,XL100,39,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243426,2622457,23.705921,120.935529,6.5
西巒大山,西巒大山,2.5,登山口,4.0,XL100,40,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243507,2622425,23.705631,120.936325,6.5
西巒大山,西巒大山,2.4,登山口,4.1,XL100,41,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243565,2622355,23.705002,120.936892,6.5
西巒大山,西巒大山,2.3,登山口,4.2,XL100,42,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243585,2622272,23.704253,120.937095,6.5
西巒大山,西巒大山,2.2,登山口,4.3,XL100,43,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243650,2622242,23.703982,120.937731,6.5
西巒大山,西巒大山,2.1,登山口,4.4,XL100,44,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243718,2622210,23.703690,120.938394,6.5
西巒大山,西巒大山,2.0,登山口,4.5,XL100,45,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243709,2622136,23.703026,120.938307,6.5
西巒大山,西巒大山,1.9,登山口,4.6,XL100,46,西巒大山(6.5)➡倒塌瞭望台(3.85),⇨林道叉路(1.68)⇨登山口(0.0),243733,2622069,23.702422,120.938544,6.5
